"b_rate","b_rateQ","b_hold","b_loc","b_admin1","b_admin2","b_admin3","b_alt0","logLike"
0,0,0,0,0,0,0,0,-26595.2062840776
0,0,0,0,0,0,0,0,-26595.2062840776
1.28603477333333e-05,0.000701363541333334,-6.9271552e-06,-1.63730773333333e-07,-1.55211093333333e-07,-8.21384533333333e-08,-2.1348352e-07,4.50833066666667e-07,-26509.6974341075
-0.0179106993561967,0.00139867764244572,-0.135421346811386,-0.00407812056699677,-0.00306317354275527,-0.00307729127863761,-0.00361272881590545,0.00975319363729834,-24797.9003431062
0.221193393950316,-0.00306191415191284,-0.261746593305481,-0.00405982877135116,-0.00248862558573015,-0.00800042649149989,-0.00389788127859762,0.0143869333558277,-24573.5267391546
0.236467700386183,-0.00332700118321763,-0.24585139928061,-0.122587876631489,-0.0790204236624224,-0.0748678912271369,-0.0486578020069093,0.202546116896469,-24421.2374403065
0.247199081881839,-0.00350813431621926,-0.222352611027677,0.207352853358397,-0.0762270968636898,-0.291949660239461,-0.229341899757997,0.597518656861151,-24374.9228769138
0.247392990067396,-0.00351254408042495,-0.221909615506968,0.204117868331965,-0.0608859723417959,-0.290576599765713,-0.249226386304491,0.600688958412005,-24372.7118023707
0.247434204196839,-0.0035266734500923,-0.220238376354469,0.216757358052015,-0.102420954824367,-0.220850285814821,-0.287818545770287,0.611089786409509,-24343.5578685341
0.194337361328346,-0.00261667463064058,-0.176560883251421,0.0787805542687079,-0.108568767117796,-0.264272114604685,-0.239901805767945,0.612742687491463,-23283.2440668631
0.0879294244748591,-0.000925336912166034,-0.0781497921943517,-0.0933363512277006,-0.103772412018096,-0.254341096148357,-0.184330008708686,0.542443516879588,-22642.3672454215
0.119040907221129,-0.00144784279111502,-0.104414223537857,-0.0300629879590369,-0.123336268556976,-0.249807451160622,-0.200236318248139,0.573380037969505,-22568.7633118518
0.113891882297537,-0.00137207242111805,-0.0999892318480263,-0.0308194183831799,-0.112728668748606,-0.250488850805597,-0.192775206882447,0.555992726440932,-22563.607895977
0.113544966036337,-0.00137098390951356,-0.0994048287261798,-0.0329278805795096,-0.112456262670649,-0.249030629011364,-0.189253203030192,0.550740094716758,-22563.3883479757
0.113640135865919,-0.00137301319176974,-0.0994686560503897,-0.0320088149299371,-0.111802055686988,-0.249515223286678,-0.18930992348043,0.550627202458564,-22563.3841238812
0.113664863890972,-0.00137347951791968,-0.0994935903486817,-0.0321797826868697,-0.1119708713295,-0.249290958014374,-0.189230043834006,0.550491873182668,-22563.3839933546
0.113664331875472,-0.00137345976478447,-0.0994944934125068,-0.0321797842050764,-0.111970702430583,-0.249292741359696,-0.189230231907987,0.550498078508349,-22563.3839926901
