"b_rate","b_rateQ","b_hold","b_holdAge","b_loc","b_locRural","b_admin1","b_admin2","b_admin3","b_alt0","logLike"
0,0,0,0,0,0,0,0,0,0,-26595.2062840776
0,0,0,0,0,0,0,0,0,0,-26595.2062840776
1.28603477333333e-05,0.000701363541333334,-6.9271552e-06,-2.59047424e-05,-1.63730773333333e-07,-2.367488e-07,-1.55211093333333e-07,-8.21384533333333e-08,-2.1348352e-07,4.50833066666667e-07,-26503.9055220499
-0.000701340969272037,0.000887949547767654,-0.0054315620867663,-0.0197799592628301,-0.000163508271842526,-0.000224201229582148,-0.000122855696714049,-0.000123357697235693,-0.000144923159020337,0.000391136552970079,-23903.4867741477
0.0426252322134037,6.67185537978965e-05,-0.00713321036152734,-0.024736662312285,0.000276484159694766,-0.000114398950499483,0.000238181786859796,-0.000911732267362435,0.000397794565431236,0.000275755915071407,-23378.3230761367
0.0468869755532022,-4.56316483678023e-06,-0.0336439081297637,-0.0176347751321919,-0.00474961631243652,-0.0084737960044648,-0.0016204881700981,-0.00641798916875615,-0.00101841010839212,0.0090568874472464,-23326.3237193981
0.0670042816415884,-0.000338071968814964,-0.00102668099163192,-0.0203584490758485,-0.115481697338936,-0.20711362208741,-0.044451222483443,-0.147352883980483,-0.0256153906854037,0.21741949714933,-23253.9820503931
0.0731273844180556,-0.000436163378104729,0.00946605665044057,-0.0200660667932233,-0.0536807416138603,-0.17678787092287,-0.0921059971770739,-0.251352892530045,-0.059496146504598,0.402955036211718,-23166.5189938606
0.0762309703838051,-0.000498078025348119,0.013781695922206,-0.0199889192240915,-0.02483867606066,-0.187040836508453,-0.0790946864049781,-0.235876102415733,-0.147865105530088,0.462835894350801,-23144.8703621915
0.0766462395179891,-0.000508706480176299,0.0137571821147553,-0.0198940279711911,0.0584998583530582,-0.250425323922849,-0.108056064127232,-0.214642670644469,-0.145317052159711,0.468015786931416,-23138.0705260865
0.073542158406875,-0.000448148227531455,0.00994524373251243,-0.0197378043465543,0.387938860893057,-0.481790955860981,-0.032590422836245,-0.27077690355018,-0.138157457573689,0.441524783960129,-23134.0691628656
0.129894705829328,-0.00179957117799595,-0.0237797623892929,-0.0295470732457799,0.266033310838303,-0.1651675669143,-0.115933378685236,-0.267747767066945,-0.222146668750261,0.605827814503821,-22488.2782782827
0.114413859572294,-0.0013849354208263,-0.0144797388069895,-0.0284474883338789,0.293734241347562,-0.255930823794595,-0.0993727202721804,-0.238561326390121,-0.169417364698765,0.507351411361536,-22249.2280962465
0.114431344776136,-0.00137963325892005,-0.0137217964952229,-0.0277172412029288,0.276416460580449,-0.253227973581594,-0.105852279438222,-0.24029548131241,-0.185016225874637,0.531163986625623,-22248.05092404
0.114567020726745,-0.00138275980046725,-0.0140024310434816,-0.0277014456003739,0.276698004478853,-0.253015319550686,-0.105506701694632,-0.241011740635585,-0.183266395965269,0.529784838295708,-22248.0367887564
0.114566902709591,-0.00138279387459327,-0.0140058571627198,-0.0276980637775765,0.276761140724741,-0.253042508170648,-0.105502502098225,-0.241076644018975,-0.183256228761858,0.529835374879261,-22248.03676366
0.114566902656818,-0.00138279677002947,-0.0140058571585312,-0.0276980637488125,0.276761140724957,-0.25304250817048,-0.105502502097959,-0.24107664402006,-0.183256228761226,0.529835374879447,-22248.0367634774
0.114566758687636,-0.00138279790884617,-0.0140058555655975,-0.0276980414904726,0.276761157563642,-0.253042488775329,-0.105502499727725,-0.241076641427203,-0.183256221522632,0.529835242067561,-22248.0367633241
