"b_rate","b_rateQ","b_hold","b_holdAge","b_loc","b_locRural","b_admin1","b_admin2","b_admin3","b_profit","b_alt0","logLike"
0,0,0,0,0,0,0,0,0,0,0,-26595.2062840776
0,0,0,0,0,0,0,0,0,0,0,-26595.2062840776
1.28603477333333e-05,0.000701363541333334,-6.9271552e-06,-2.59047424e-05,-1.63730773333333e-07,-2.367488e-07,-1.55211093333333e-07,-8.21384533333333e-08,-2.1348352e-07,1.02093725652313e-07,4.50833066666667e-07,-26503.9055928439
-0.00070134096552973,0.000887950703821701,-0.00543156209787336,-0.0197799592991129,-0.00016350827256299,-0.00022420123048368,-0.000122855697091666,-0.000123357697384458,-0.000144923159632552,-7.02612641962662e-06,0.000391136554108677,-23903.4875420783
0.0426252581277132,6.66548368699069e-05,-0.00713333872284141,-0.02473715666251,0.000276481885679279,-0.000114402197195995,0.000238179687435103,-0.00091173449759816,0.00039779184354642,0.000417085394565272,0.000275762966616643,-23378.2931739195
0.0468866290443788,-4.62560173156502e-06,-0.0336440299695739,-0.0176352712604266,-0.0047496220054622,-0.00847379905647076,-0.00162050089956828,-0.00641796689589262,-0.001018430431143,0.000455105944382297,0.00905689822660394,-23326.2937256041
0.0670029430288878,-0.000338131473903989,-0.00102683949703172,-0.0203589276471365,-0.115481710744381,-0.20711362003155,-0.0444517362728198,-0.1473523418511,-0.0256157938812432,0.000559358647532665,0.217419872005163,-23253.9515769896
0.0731263449509246,-0.000436224485654913,0.00946588020392477,-0.0200665276158234,-0.0536807235719749,-0.176787826737558,-0.0921071721184181,-0.251352397134962,-0.0594965268246821,0.000532996095680338,0.402956096078064,-23166.4882159413
0.0762294453928291,-0.000498137254010206,0.0137814989238122,-0.0199893765435974,-0.0248385096915892,-0.18704053247953,-0.0790948672521854,-0.235876313633398,-0.147865863981736,0.000581584447426873,0.462837044867321,-23144.8395037418
0.0766419797715293,-0.000508757022308577,0.0137570137139798,-0.0198944801930286,0.0584999871424042,-0.250425085140715,-0.10805725222594,-0.214641803564326,-0.145318443171586,0.000864978225776665,0.468017498961857,-23138.0398009743
0.0735254986066454,-0.000448157394188395,0.00994524451881329,-0.019738258658495,0.387933358831776,-0.481786793879022,-0.0325965017387269,-0.270773901935046,-0.138158004079632,0.00214010223646208,0.44152840775342,-23134.037328087
0.127205479071197,-0.0017903224130165,-0.0237728060222363,-0.0295465217184811,0.26608191594639,-0.165174162935913,-0.116002667892065,-0.267793795988028,-0.222209681753558,0.274866199232454,0.606006145636112,-22488.2353762895
0.111292944323748,-0.00137428179685767,-0.0144720835984335,-0.0284473761405636,0.293785233129836,-0.255930318717764,-0.0994552078491503,-0.238614951799876,-0.169492074666241,0.319515929980963,0.50756223431679,-22249.1791341348
0.109792718082422,-0.00136378429470726,-0.0137100509486907,-0.0277169733831786,0.276497073027195,-0.253234452698329,-0.105974950165019,-0.240376477525701,-0.185127262862147,0.474869940853519,0.531478690554451,-22247.9776556117
0.108508804745278,-0.00136204608861297,-0.013982890565623,-0.0276942173908635,0.276644915655278,-0.252995562059518,-0.105724520780082,-0.241141307662421,-0.183541372551829,0.620422800593712,0.530407200996003,-22247.941118629
0.10419445123728,-0.00134998052030285,-0.0142481150332215,-0.0276651899343192,0.2769674258493,-0.252819066856192,-0.105555261108091,-0.242073238187433,-0.182054120955585,1.07602071975628,0.529682620253163,-22247.8813013594
0.0873612099357805,-0.00129747298494077,-0.0147209421995758,-0.0276082953515802,0.277717667112919,-0.252473793068447,-0.105458347974961,-0.243992263166444,-0.179469796503727,2.82494468088456,0.528920407648459,-22247.7002128118
0.0406244245875269,-0.00114525821300566,-0.0153639379245586,-0.0275217373891907,0.279209781849539,-0.251972575660183,-0.105891092296726,-0.247228758150596,-0.176193209785964,7.6476939699294,0.529313060239862,-22247.2613576787
-0.0884399940268193,-0.00071608033571287,-0.0162056977824871,-0.0273854380063783,0.282495997326617,-0.251242757033202,-0.108096309211028,-0.253246443224178,-0.172641276818259,20.9213311115356,0.533984029268223,-22246.1446503929
-0.402258475675003,0.000339863487445112,-0.0169268679190478,-0.0272025701704053,0.289304729051203,-0.250413354962321,-0.114924876629515,-0.263747296152242,-0.171861939835525,53.1345458326472,0.550534112652318,-22243.5954880244
-1.04704408270949,0.00252633190011771,-0.0165858889478366,-0.027033665699261,0.301673652937778,-0.250017443259276,-0.131027751825551,-0.27969936828474,-0.181114442338699,119.238915172186,0.591841562525653,-22238.7099760392
-1.95136011103224,0.0056130143145836,-0.0139135745745877,-0.0270490186951361,0.317018134352198,-0.251037517590803,-0.156244100087698,-0.29543896453147,-0.207219777455869,211.854842486772,0.658902842209708,-22232.4691561187
-2.55105653783359,0.00767934514050393,-0.0100435458685094,-0.0273056291750738,0.325068250755134,-0.253244785847702,-0.175669718383296,-0.299589223147212,-0.237212900759916,273.18364160933,0.712471842463643,-22228.5422750321
-2.58778991700603,0.00782181029522442,-0.0081157241892705,-0.0275243980936426,0.323695503702491,-0.254669705061041,-0.17902255685296,-0.294543390997825,-0.249400993372889,276.867047964345,0.722966941399109,-22227.6228787985
-2.50353931950289,0.00753881468442365,-0.00788419837767606,-0.0275812731700118,0.321723837706631,-0.254954981906011,-0.177193457941713,-0.291379939320123,-0.249920613679769,268.216127824642,0.718494011111336,-22227.5537478791
-2.50353932027596,0.00753878639725298,-0.00788419783809015,-0.0275812714925721,0.32172383770386,-0.254954981909797,-0.177193457931571,-0.291379939282453,-0.249920613698095,268.216127824635,0.71849401108185,-22227.5537475366
